nom,url,type,pays,score,https,rendu_serveur,catalogue_indexable,profondeur_catalogue,sitemap,robots_txt,crawlers_ia,llms_txt,donnees_structurees,title_ok,description_ok,h1_unique,viewport,images_alt,blog,encodage_utf8
DMB Machines,https://dmb-machines.com/,Distributeur,France,88,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
RECMIS,https://recmis.com/,Distributeur,France,71,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
ALMA Machines-Outils,https://www.alma-machines-outils.fr/,Distributeur,France,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France Machines-Outils,https://www.francemachinesoutils.com/fr/,Distributeur,France,76,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
Perreau Machines-Outils,https://perreau-machines-outils.com/,Distributeur,France,41,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
MPI Machine-Outil,https://www.mpi-machine-outil.com/,Distributeur,France,43,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1
RDMO,https://www.rdmo.fr/,Distributeur,France,69,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1
LMO France,https://www.lmofrance.com/,Distributeur,France,57,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1
Orba Tech,https://www.orbatech.fr/,Distributeur,France,61,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1
SCOMO,https://www.scomo.fr/,Distributeur,France,63,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1
West Machines-Outils,https://www.westmachinesoutils.fr/,Distributeur,France,53,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
SAMME MO,http://www.samme-mo.com/,Distributeur,France,34,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
Ain Machines-Outils,https://www.ain-machines-outils.fr/,Distributeur,France,46,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1
Didelon,https://www.didelon.fr/,Distributeur,France,68,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
GMO,https://www.gmo.fr/,Distributeur,France,73,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
Machine-Outil Service,https://www.machine-outil-service.fr/,Distributeur,France,71,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1
Kraffter Machine Tools,https://www.krafftermachinetools.fr/,Distributeur,France,78,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Lebaut,http://lebaut.com/fr/,Distributeur,France,32,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
FCMO,https://www.fcmo.fr/,Distributeur,France,73,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
Retec Machines,https://www.retec-machines.com/,Distributeur,France,56,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1
Solutions Machines-Outils,https://www.solutionsmachinesoutils.com/,Distributeur,France,57,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1
MachinePro,https://machinepro.fr/,Distributeur,France,78,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
RATMO,https://www.ratmo.com/,Distributeur,France,71,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1
Les Machines-Outils,http://www.les-machines-outils.com/,Distributeur,France,25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
SPMO 77,https://www.spmo77.fr/,Distributeur,France,55,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1
TT Group France,https://www.ttgroupfrance.fr/machine-outils-usinage/,Distributeur,France,67,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1
PRP Machines,https://prp-machines.fr/,Distributeur,France,45,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1
CGM Services,https://cgm-services.fr/,Distributeur,France,78,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
