nom,url,type,pays
DMG MORI,https://en.dmgmori.com/,OEM,Allemagne
Mazak,https://www.mazak.com/us-en/,OEM,Japon
Haas France HFO Performer,https://www.haascnc.com/fr.html,Integrateur,Etats-Unis
Okuma Europe,https://www.okuma.eu/,OEM,Japon
Makino,https://www.makino.com/,OEM,Japon
HURON Graffenstaden,https://huron.fr/,OEM,France
SOMAB,https://www.somab.fr/en/,OEM,France
INDEX-TRAUB France,https://www.index-france.fr/fr/,OEM,Allemagne
Tornos,https://www.tornos.com/,OEM,Suisse
Citizen Machinery Europe,https://www.citizen.de/en/,OEM,Japon
TSUGAMI Europe,https://www.yamazen.de/tsugami,OEM,Japon
DN Solutions,https://www.dn-solutions.com/en,OEM,Coree du Sud
GROB,https://www.grobgroup.com/en/,OEM,Allemagne
Hermle France,https://www.hermle.fr/,OEM,Allemagne
Starrag,https://www.starrag.com/,OEM,Suisse
CHIRON Group,https://chiron-group.com/,OEM,Allemagne
Brother Machine Tools,https://machinetool.global.brother/en-us,OEM,Japon
Hurco France,https://www.hurco.com/fr,OEM,Etats-Unis
United Grinding,https://www.grinding.ch/en/,OEM,Suisse
Sodick Europe,https://sodick.eu/,OEM,Japon
Fives Machining,https://www.fivesgroup.com/,Integrateur,France
GF Machining Solutions,https://www.gfms.com/,OEM,Suisse
Danobat,https://www.danobat.com/en,OEM,Espagne
Junker Group,https://www.junker-group.com/,OEM,Allemagne
LIPEMEC,https://www.lipemec.com/en_index.php,Integrateur,France
KASTO,https://www.kasto.com/en/,OEM,Allemagne
BEHRINGER France,https://www.behringerfrance.fr/,OEM,Allemagne
AMADA France,https://www.amada.eu/fr-fr/,OEM,Japon
Kaltenbach,https://www.kaltenbach.com/de/,OEM,Allemagne
ZAYER,https://www.zayer.com/en/,OEM,Espagne
